group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,3,Livermore-3,expression,0,723072574,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.999999999999996,0.9999999999999934,11.0,212554,21.521271277999404,-1.00000000525 + -4.24043467097e-10 / (0.876102830188 - x0) * x0 + cos(x0 * (1.0047362136e-07 - x0)) * sin(x0 * x0 * x0),-1.00000000525 + -4.24043467097e-10 / (0.876102830188 - x0) * x0 + cos(x0 * (1.0047362136e-07 - x0)) * sin(x0 * x0 * x0),sin(x0**3)*cos(x0**2) - 1.0,"[-1.0000000052497224, 0.9999999994759565, 0.8761028301879825, 1.0047362135951234e-07]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,1,971434279,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999994,0.9999999999999994,11.0,154879,15.81632208100018,(-1.44028393044e-08 - x0 * -6.18688227324e-09 + cos(x0 * x0)) * sin(x0 * x0 * x0) + -1.00000000243,(-1.44028393044e-08 - x0 * -6.18688227324e-09 + cos(x0 * x0)) * sin(x0 * x0 * x0) + -1.00000000243,sin(x0**3)*cos(x0**2) - 1.0,"[1.570796341197736, -6.186882273238122e-09, -1.0000000024305002]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,2,3325160576,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999983,0.9999999999999976,18.0,135722,13.544241055000384,-1.00000000609 - sin(x0 * x0 * x0 / -1.00000002386) * sin((1.25331413142 + x0) * (1.25331413166 - x0)),-1.00000000609 - sin(x0 * x0 * x0 / -1.00000002386) * sin((1.25331413142 + x0) * (1.25331413166 - x0)),-sin(0.999999976140001*x0**3)*sin((x0 - 1.25331413166)*(x0 + 1.25331413142)) - 1.0,"[1.1940688212513775, -1.0000000238568605, 1.253314131419302, 1.2533141316566647]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,5,2057259013,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999976,0.9999999999999984,14.0,77355,7.156862972999079,sin(1.57079630625 - x0 * x0) * sin(x0 * x0 * (3.18581881426e-08 + x0)) - (1.00000001293 + x0 * -2.22226796069e-08 * x0),sin(1.57079630625 - x0 * x0) * sin(x0 * x0 * (3.18581881426e-08 + x0)) - (1.00000001293 + x0 * -2.22226796069e-08 * x0),-sin(x0**3)*sin(x0**2 - 1.57079630625) - 1.0,"[2.093711271646538, 0.5229149653948287, 3.185818814258619e-08, 1.2929742452125664e-08, -2.2222679606890332e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,6,3814845113,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999999,0.9999999999999999,11.0,590625,65.88164869799948,-0.999999999158 + sin(x0 * x0 * x0) * cos(x0 * x0 + -1.13512015288e-08),-0.999999999158 + sin(x0 * x0 * x0) * cos(x0 * x0 + -1.13512015288e-08),sin(x0**3)*cos(x0**2) - 1.0,"[-0.9999999991581834, -1.1351201528808725e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,9,3828183215,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999976,0.9999999999999961,14.0,294068,31.48869403900062,cos(x0 + 3.14159265366 - x0) + 7.51348234983e-08 * x0 + sin(1.0000001189 * x0 * x0 * x0) * 0.999999707234 * cos(x0 * x0),cos(x0 + 3.14159265366 - x0) + 7.51348234983e-08 * x0 + sin(1.0000001189 * x0 * x0 * x0) * 0.999999707234 * cos(x0 * x0),1.0*sin(1.0000001189*x0**3)*cos(x0**2) - 1.0,"[3.1415926536567382, 7.513482349827925e-08, 1.000000118895012, 0.999999707233625]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,12,1677402687,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999954,0.9999999999999931,13.0,266122,28.557471508000162,(sin(x0 / x0) - (8650494.01512 + x0)) / 8650493.22601 - (1.06717016303e-07 - cos(x0 * x0)) * sin(x0 * 1.00000046794 * x0 * x0),(sin(x0 / x0) - (8650494.01512 + x0)) / 8650493.22601 - (1.06717016303e-07 - cos(x0 * x0)) * sin(x0 * 1.00000046794 * x0 * x0),sin(1.00000046794*x0**3)*cos(x0**2) - 1.0,"[8650494.015123798, 8650493.226007016, 1.0671701630342173e-07, 1.0000004679373347]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,13,310923819,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999983,0.9999999999999986,17.0,301657,33.10738252800002,cos((6.63191503405 + x0) * (6.6319150585 - x0)) * sin(x0 * x0 * x0 * 0.99999985425) - (1 - sin(x0 * 5.72983924092e-08)),cos((6.63191503405 + x0) * (6.6319150585 - x0)) * sin(x0 * x0 * x0 * 0.99999985425) - (1 - sin(x0 * 5.72983924092e-08)),sin(0.99999985425*x0**3)*cos((x0 - 6.6319150585)*(x0 + 6.63191503405)) - 1.0,"[6.631915034051459, 6.6319150585011055, 0.9999998542502586, 2.817353015540675e-08, 5.7298392409244485e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,14,1777581980,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999994,0.9999999999999987,13.0,413216,46.26021899399893,cos(-5.96694866111e-07 - x0 * x0) * sin(x0 / 1.0000001684 * x0 * x0) + 3.45584124997e-06 * x0 - (x0 + 0.999999996922) + x0 - sin(x0) * 3.52578380058e-06,cos(-5.96694866111e-07 - x0 * x0) * sin(x0 / 1.0000001684 * x0 * x0) + 3.45584124997e-06 * x0 - (x0 + 0.999999996922) + x0 - sin(x0) * 3.52578380058e-06,sin(0.999999831600028*x0**3)*cos(x0**2) - 1.0,"[-5.966948661114313e-07, 1.0000001684030078, 3.455841249974983e-06, 0.9999999969220107, 3.525783800584639e-06]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,16,1949615811,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999996,0.999999999999999,12.0,486059,52.87491319500077,(3.38853127779e-08 * x0 + 1.00000001265) * cos(x0 * x0) * sin(x0 * x0 * x0) + -1.0000000028,(3.38853127779e-08 * x0 + 1.00000001265) * cos(x0 * x0) * sin(x0 * x0 * x0) + -1.0000000028,1.0*sin(x0**3)*cos(x0**2) - 1.0,"[3.3885312777925947e-08, 1.0000000126472561, -1.0000000027953102]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,17,2845477618,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999996,0.9999999999999994,16.0,425497,46.978548811999644,sin(-1.57073294299 - (x0 - 0.999999462567) - (x0 * -1.00012724409 + 1.00000053743)) + cos(x0 * x0) * sin(x0 * x0 * (x0 + -1.77967367613e-08)),sin(-1.57073294299 - (x0 - 0.999999462567) - (x0 * -1.00012724409 + 1.00000053743)) + cos(x0 * x0) * sin(x0 * x0 * (x0 + -1.77967367613e-08)),sin(x0**3)*cos(x0**2) + sin(0.000127244089999978*x0 - 1.570734017853),"[0.20789275286634068, 0.9999994625673851, -1.000127244087409, 1.0000005374326149, -1.77967367612669e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
