group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,3,Livermore-3,expression,0,723072574,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999964,0.9999999999999944,12.0,194918,16.12118738600111,-1.00000000802 - (-0.999999984021 + x0 * -8.93316870973e-08) * cos(x0 * x0) * sin(x0 * x0 * x0),-1.00000000802 - (-0.999999984021 + x0 * -8.93316870973e-08) * cos(x0 * x0) * sin(x0 * x0 * x0),1.0*sin(x0**3)*cos(x0**2) - 1.0,"[-1.0000000080211973, -1.9999999840210365, 1.0, -8.933168709729957e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,1,971434279,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999994,0.9999999999999994,13.0,344529,30.778753575999872,-1.10265247635e-09 * x0 / (0.02893524896 + x0 * x0) - (sin(6.58536502867e-09 * x0) - -1.00000000163) + sin(x0 / 1.00000000227 * x0 * x0) * cos(x0 * x0),-1.10265247635e-09 * x0 / (0.02893524896 + x0 * x0) - (sin(6.58536502867e-09 * x0) - -1.00000000163) + sin(x0 / 1.00000000227 * x0 * x0) * cos(x0 * x0),sin(0.99999999773*x0**3)*cos(x0**2) - 1.0,"[-1.10265247634906e-09, 1.029357940220071, 6.585365028669867e-09, -1.000000001634826, 1.0000000022696427]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,2,3325160576,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999987,0.9999999999999983,18.0,422861,38.17824257400025,-1 + sin((x0 + 1.25331413799) * (1.25331412536 - x0)) * sin(x0 / 1.00000002559 * x0 * x0),-1 + sin((x0 + 1.25331413799) * (1.25331412536 - x0)) * sin(x0 / 1.00000002559 * x0 * x0),-sin(0.999999974410001*x0**3)*sin((x0 - 1.25331412536)*(x0 + 1.25331413799)) - 1.0,"[-1.5707963136084384, 1.2533141379925223, 1.2533141253622386, 1.000000025591484]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,3,3163586042,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.999999999999996,0.9999999999999843,16.0,594986,55.91289990500081,exp(-3.71889657389 - 2.93691743644e-06 * x0) + -1.0242607209 - sin(1.00000007912 * x0 * x0 * x0) * sin(x0 * x0 + 4.7123888974),exp(-3.71889657389 - 2.93691743644e-06 * x0) + -1.0242607209 - sin(1.00000007912 * x0 * x0 * x0) * sin(x0 * x0 + 4.7123888974),-sin(1.00000007912*x0**3)*sin(x0**2 + 4.7123888974) - 1.0,"[-3.7188965738892064, 2.936917436438918e-06, -1.0242607208992196, 1.0000000791219321, 1.5501949763480614]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,4,1227433701,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999983,0.9999999999999986,12.0,302924,25.95129345500027,sin(x0 * x0 * x0) * 0.999999961321 * cos(x0 * x0) - 0.999999998034,sin(x0 * x0 * x0) * 0.999999961321 * cos(x0 * x0) - 0.999999998034,1.0*sin(x0**3)*cos(x0**2) - 1.0,"[-3.867918412630518e-08, -1.965779833378384e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,5,2057259013,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.999999999999999,0.9999999999999992,13.0,1046979,96.3941307540008,-1.00000001875 - exp(x0) * -1.75522303373e-08 + sin(x0 / 1.00000007933 * x0 * x0) * cos(x0 * x0),-1.00000001875 - exp(x0) * -1.75522303373e-08 + sin(x0 / 1.00000007933 * x0 * x0) * cos(x0 * x0),sin(0.999999920670006*x0**3)*cos(x0**2) - 1.0,"[-1.0000000187533191, -1.755223033729321e-08, 1.000000079329514]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,6,3814845113,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,1.0,1.0,12.0,399846,36.6417403359992,sin(x0 * x0 * x0) * cos(x0 * x0) * 1.00000000018 + -0.999999999585,sin(x0 * x0 * x0) * cos(x0 * x0) * 1.00000000018 + -0.999999999585,1.0*sin(x0**3)*cos(x0**2) - 1.0,"[-22.460623764298518, 1.0, 1.0, 1.0, -0.49999999979274845]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,7,2770303473,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999998,0.9999999999999998,13.0,478514,43.51532797300024,sin(x0 * x0 * 0.999999985584 * x0) * cos(x0 * x0) + log(-0.473591544348 + sin(x0 / x0)),sin(x0 * x0 * 0.999999985584 * x0) * cos(x0 * x0) + log(-0.473591544348 + sin(x0 / x0)),sin(0.999999985584*x0**3)*cos(x0**2) - 1.0,"[0.9999999855843386, 2.0641605050006135]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,8,3183815639,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999994,0.9999999999999993,13.0,326277,27.847313036998457,-1.00000000422 - cos(x0 * x0) * sin(x0 * -1.00000001959 * x0 * x0),-1.00000000422 - cos(x0 * x0) * sin(x0 * -1.00000001959 * x0 * x0),sin(1.00000001959*x0**3)*cos(x0**2) - 1.0,"[0.36787943951915447, -1.0000000195909247]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,9,3828183215,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999973,0.9999999999999958,14.0,649702,58.71789100800015,-1.00000000367 + 7.11100653185e-08 * x0 - sin(x0 * x0 * x0 / 0.999999794031) * cos(x0 * x0) * -0.999999640142,-1.00000000367 + 7.11100653185e-08 * x0 - sin(x0 * x0 * x0 / 0.999999794031) * cos(x0 * x0) * -0.999999640142,1.0*sin(1.00000020596904*x0**3)*cos(x0**2) - 1.0,"[-1.0000000036719094, 7.1110065318469e-08, 0.9999997940311436, -0.9999996401423944]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,10,2437489881,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998807907104,True,0.9999999999999971,0.9999999999999944,21.0,489091,43.65233345900015,sin(x0 * x0 * 1.00000000057 * x0) * cos(x0 * x0 * 0.999999978228) - (sin(x0 / 94489.0318909) + 84004.1479812) / 84004.1467637,sin(x0 * x0 * 1.00000000057 * x0) * cos(x0 * x0 * 0.999999978228) - (sin(x0 / 94489.0318909) + 84004.1479812) / 84004.1467637,-1.19e-5*sin(1.05832389218955e-5*x0) + sin(1.00000000057*x0**3)*cos(0.999999978228*x0**2) - 1.0,"[1.000000000565458, 0.9999999782281421, 94489.03189087541, 84004.14798119891, 84004.14676372557]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,11,2218870180,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999999403953552,True,0.9999999999999939,0.9999999999999896,14.0,529203,47.930591767000806,sin((2.17275012578e-08 + x0) * x0 * x0) * sin(1.57079627389 - x0 * x0) - (1.00000002106 - (x0 - 5.78772512999) * (x0 + x0) * -4.24758529252e-09),sin((2.17275012578e-08 + x0) * x0 * x0) * sin(1.57079627389 - x0 * x0) - (1.00000002106 - (x0 - 5.78772512999) * (x0 + x0) * -4.24758529252e-09),-sin(x0**3)*sin(x0**2 - 1.57079627389) - 1.0,"[2.1727501257806254e-08, 1.570796273889741, 1.0000000210605127, 5.787725129992346, 9.32478990827183e-05]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
Livermore,3,Livermore-3,expression,12,1677402687,40,20,20,1,"[""x0""]",sin(x[0]**3) * cos(x[0]**2) - 1,0.9999998211860657,True,0.9999999999999997,0.9999999999999996,13.0,440286,39.36324418000004,-0.999999997396 + sin(x0 * x0 * x0 * 1.00000007772) * (-4.80242243818e-08 + cos(x0 * x0)),-0.999999997396 + sin(x0 * x0 * x0 * 1.00000007772) * (-4.80242243818e-08 + cos(x0 * x0)),sin(1.00000007772*x0**3)*cos(x0**2) - 1.0,"[1.000000002604856, 1.0, 1.0000000001012863, 1.0000000777233413, -4.802422438182456e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,6,2000000,50,0.5
