group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,10,Livermore-10,expression,0,723072574,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9999998807907104,True,1.0,1.0,6.0,201880,1.5968036049998773,(sin(x0) + sin(x0)) * (cos(x1) + cos(x1) + cos(x1)),(sin(x0) + sin(x0)) * (cos(x1) + cos(x1) + cos(x1)),6.0*sin(x0)*cos(x1),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,1,971434279,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9969133734703064,False,0.9999904135875493,0.9999874050092512,25.0,2000000,19.404428384999846,cos(x1) * (x0 + x0 + x0 + x0 * sin(x0) + sin(x0) / exp(x0) + sin(x0 + x0)),cos(x1) * (x0 + x0 + x0 + x0 * sin(x0) + sin(x0) / exp(x0) + sin(x0 + x0)),((x0*sin(x0) + 3.0*x0 + sin(2*x0))*exp(x0) + sin(x0))*exp(-x0)*cos(x1),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,2,3325160576,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9954538941383362,False,0.9999791437031871,0.9999951849249484,32.0,2000000,21.43098695400022,x0 + sin(x0) + x0 + cos(x0) * x0 * cos(x1) + sin(x0) - x0 * x1 * sin(x1) + sin(x0) * (cos(x1) - x1 * x1),x0 + sin(x0) + x0 + cos(x0) * x0 * cos(x1) + sin(x0) - x0 * x1 * sin(x1) + sin(x0) * (cos(x1) - x1 * x1),-x0*x1*sin(x1) + x0*cos(x0)*cos(x1) + 2.0*x0 - (x1**2 - cos(x1))*sin(x0) + 2.0*sin(x0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,3,3163586042,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9871236681938171,False,0.9998298452777525,0.9993356336817999,32.0,2000003,21.128658842000277,x0 + x0 - x0 * x1 + cos(x0) * x0 + x0 * cos(x1) + (cos(x0 * x1) + cos(x1 * x1)) * sin(x0) * cos(x1 * x1),x0 + x0 - x0 * x1 + cos(x0) * x0 + x0 * cos(x1) + (cos(x0 * x1) + cos(x1 * x1)) * sin(x0) * cos(x1 * x1),-x0*x1 + x0*cos(x0) + x0*cos(x1) + 2.0*x0 + (cos(x1**2) + cos(x0*x1))*sin(x0)*cos(x1**2),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,4,1227433701,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9918595552444458,False,0.9999326419563437,0.9998833228299087,48.0,2000001,21.546489216999817,cos(x1) * sin(x0) - x1 * x0 * x1 + cos(x0) * sin(x0) - (x0 * x0 * x1 * (x1 - x0 * x1) - (x0 + x0 + x0 - x1 + sin(x1 + x0))),cos(x1) * sin(x0) - x1 * x0 * x1 + cos(x0) * sin(x0) - (x0 * x0 * x1 * (x1 - x0 * x1) - (x0 + x0 + x0 - x1 + sin(x1 + x0))),x0**3*x1**2 - x0**2*x1**2 - x0*x1**2 + 3.0*x0 - x1 + 0.5*sin(2*x0) + 0.5*sin(x0 - x1) + 1.5*sin(x0 + x1),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,5,2057259013,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9999999403953552,True,1.0,1.0,6.0,126629,0.9585103650001656,sin(x0) * (cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1)),sin(x0) * (cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1)),6.0*sin(x0)*cos(x1),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,6,3814845113,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9999999403953552,True,1.0,1.0,6.0,426593,3.5286473999999544,sin(x0) * (cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1)),sin(x0) * (cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1) + cos(x1)),6.0*sin(x0)*cos(x1),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,7,2770303473,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9752816557884216,False,0.999357639177341,0.9993058859826313,24.0,2000004,19.044723728000008,sin(x0) * cos(x0 * x0) + sin(x0) - x1 * x1 * x0 * x1 + x0 * (cos(x1) + exp(cos(x1))),sin(x0) * cos(x0 * x0) + sin(x0) - x1 * x1 * x0 * x1 + x0 * (cos(x1) + exp(cos(x1))),-x0*x1**3 + x0*(exp(cos(x1)) + cos(x1)) + sin(x0)*cos(x0**2) + sin(x0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,8,3183815639,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.9970242381095886,False,0.9999910917351023,0.9999882212759502,22.0,2000002,19.358531686000333,cos(x1) * (x0 + x0 + x0 + x0 + sin(x0 + x0) - x0 / (x0 * x0) * (sin(x0) - x0)),cos(x1) * (x0 + x0 + x0 + x0 + sin(x0 + x0) - x0 / (x0 * x0) * (sin(x0) - x0)),(x0*(4.0*x0 + sin(2*x0)) + x0 - sin(x0))*cos(x1)/x0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,10,Livermore-10,expression,9,3828183215,40,20,20,2,"[""x0"", ""x1""]",6*sin(x[0]) * cos(x[1]),0.977310299873352,False,0.9994609966956096,0.9993195686339377,27.0,2000006,20.387628434999897,sin(x0) + sin(x0) * x0 - x0 * cos(x0) * cos(x0) * x1 * x1 - (x0 + x0) * (x0 - exp(cos(x1))),sin(x0) + sin(x0) * x0 - x0 * cos(x0) * cos(x0) * x1 * x1 - (x0 + x0) * (x0 - exp(cos(x1))),-x0*x1**2*cos(x0)**2 - 2.0*x0*(x0 - exp(cos(x1))) + x0*sin(x0) + sin(x0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
