group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,2,Livermore-2,expression,0,23654,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,152673,1.2382179080000242,cos(x0) * x0 * sin(x0 * x0) / x0 - (x0 + x0) / x0,cos(x0) * x0 * sin(x0 * x0) / x0 - (x0 + x0) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,1,15795,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,1723842,16.823901062000004,sin(x0 * x0) * cos(x0) - (x0 / x0 + cos((x0 - x0) / x0)),sin(x0 * x0) * cos(x0) - (x0 / x0 + cos((x0 - x0) / x0)),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,2,860,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,90287,0.6525609999998778,sin(x0 * x0) / x0 * cos(x0) * x0 - (x0 / x0 + cos((x0 - x0) / x0)),sin(x0 * x0) / x0 * cos(x0) * x0 - (x0 / x0 + cos((x0 - x0) / x0)),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,3,5390,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,81230,0.5791279169998234,sin(x0 * x0) * cos(x0) - (x0 / x0 + x0 / x0),sin(x0 * x0) * cos(x0) - (x0 / x0 + x0 / x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,4,16850,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,113651,0.7854560900000251,cos(x0) * sin(x0 * x0) - (x0 / x0 + x0 / x0),cos(x0) * sin(x0 * x0) - (x0 / x0 + x0 / x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,5,29910,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,426940,3.2365656479996687,cos(x0 * x0 / x0) * sin(x0 * x0 - (x0 - x0)) - (x0 / x0 + x0 / (x0 * x0) * x0),cos(x0 * x0 / x0) * sin(x0 * x0 - (x0 - x0)) - (x0 / x0 + x0 / (x0 * x0) * x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,6,4426,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,779451,7.179175379000299,sin(x0 * x0) * cos(x0) - (x0 / x0 + cos(x0 * (x0 - x0))),sin(x0 * x0) * cos(x0) - (x0 / x0 + cos(x0 * (x0 - x0))),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,7,21962,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,384484,3.6266133979997903,sin(x0 * x0) * cos(x0) - cos((x0 - x0) * exp(x0)) - x0 / x0,sin(x0 * x0) * cos(x0) - cos((x0 - x0) * exp(x0)) - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,8,14423,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,620808,5.285071802999937,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,9,28020,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,311670,2.724199034999856,sin(x0 * x0 / (x0 / x0)) * cos(x0) - (x0 + x0) / (x0 * x0) * x0,sin(x0 * x0 / (x0 / x0)) * cos(x0) - (x0 + x0) / (x0 * x0) * x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,10,29802,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,55545,0.38225275300010253,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,11,21575,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,30703,0.194326417999946,sin(x0 * x0) * cos(x0) - (x0 + x0) / x0,sin(x0 * x0) * cos(x0) - (x0 + x0) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,12,11964,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,51327,0.3530537260003257,(cos(x0) * x0 * sin(x0 * x0) - (x0 + x0)) / x0,(cos(x0) * x0 * sin(x0 * x0) - (x0 + x0)) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,13,11284,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,45094,0.29758139600016875,cos(x0) * (sin(x0 * x0) - x0 * (x0 - x0)) - (exp(x0 - x0) - (x0 - x0 / x0) + x0),cos(x0) * (sin(x0 * x0) - x0 * (x0 - x0)) - (exp(x0 - x0) - (x0 - x0 / x0) + x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,14,22118,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,20093,0.11794983800018599,x0 * sin(x0 * x0) / (x0 / cos(x0)) - (x0 - (x0 - x0 - x0)) / x0,x0 * sin(x0 * x0) / (x0 / cos(x0)) - (x0 - (x0 - x0 - x0)) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,15,6265,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,851604,8.295282567999948,sin(x0 * x0) * cos(x0) - ((x0 + x0) / x0 + x0) + x0,sin(x0 * x0) * cos(x0) - ((x0 + x0) / x0 + x0) + x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,16,11363,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,85856,0.6467781360001936,sin(x0 * x0) * cos(x0) - (x0 + x0) / x0,sin(x0 * x0) * cos(x0) - (x0 + x0) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,17,27495,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,129510,0.9740722339997774,cos(x0) * sin(x0 * x0) - x0 / x0 - x0 / x0,cos(x0) * sin(x0 * x0) - x0 / x0 - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,18,16023,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,251443,1.9515174510001998,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0 * x0) * cos(x0) - x0 / x0 - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,19,8322,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,1071203,9.742937345999962,cos(x0) * sin(x0 * x0) - x0 / x0 - exp(x0 - x0),cos(x0) * sin(x0 * x0) - x0 / x0 - exp(x0 - x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,20,1685,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,459196,4.248903098000028,x0 * sin(x0 * x0) * cos(x0) / x0 - cos(x0 / x0 * (x0 - x0)) / (x0 / (x0 + x0)),x0 * sin(x0 * x0) * cos(x0) / x0 - cos(x0 / x0 * (x0 - x0)) / (x0 / (x0 + x0)),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,21,32052,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999998211860657,True,1.0,1.0,9.0,83963,0.6060823040002106,cos(x0) * sin(x0 * x0) - (x0 / x0 + x0 + x0 / x0 - x0),cos(x0) * sin(x0 * x0) - (x0 / x0 + x0 + x0 / x0 - x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,22,769,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,47792,0.30959930199969676,(sin(x0 * x0) * x0 * cos(x0) - (x0 + x0)) / x0,(sin(x0 * x0) * x0 * cos(x0) - (x0 + x0)) / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,23,26967,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997019767761,True,1.0,1.0,9.0,120335,0.9508022820000406,cos(x0) * sin(x0 * x0) - exp((x0 - x0) / exp(x0)) - cos(x0 - x0),cos(x0) * sin(x0 * x0) - exp((x0 - x0) / exp(x0)) - cos(x0 - x0),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,24,30187,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997615814209,True,1.0,1.0,9.0,621284,5.038673135999943,sin(x0 * x0) * cos(x0) - x0 / x0 - cos((x0 - x0) * (x0 - x0)),sin(x0 * x0) * cos(x0) - x0 / x0 - cos((x0 - x0) * (x0 - x0)),sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,2,Livermore-2,expression,25,32157,40,20,20,1,"[""x0""]",sin(x[0]**2) * cos(x[0]) - 2,0.9999997019767761,True,1.0,1.0,9.0,127251,0.8961476939998647,cos(x0) * sin(x0 * x0) - exp(x0 - x0) - x0 / x0,cos(x0) * sin(x0 * x0) - exp(x0 - x0) - x0 / x0,sin(x0**2)*cos(x0) - 2.0,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
