group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,18,Livermore-18,expression,0,723072574,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999993443489075,True,0.999999999999469,0.999999999999571,11.0,11820,1.2128208539998013,cos(x0 / x0 + -0.999999987492 + x0) * sin((x0 + 2.11652874543e-08) * x0 * 1.00000067109) + -5.00000004723,cos(x0 / x0 + -0.999999987492 + x0) * sin((x0 + 2.11652874543e-08) * x0 * 1.00000067109) + -5.00000004723,sin(1.00000067109*x0**2)*cos(x0) - 5.0,"[-0.9999999874916555, 2.116528745432856e-08, 1.0000006710894955, -5.000000047231696]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,1,971434279,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999990463256836,True,0.9999999999998564,0.9999999999998391,11.0,3713,0.320390101999692,cos(x0 + 6.28318544643) * sin(x0 * x0) - exp(exp(x0) * -9.37701620751e-09) / 0.199999995383,cos(x0 + 6.28318544643) * sin(x0 * x0) - exp(exp(x0) * -9.37701620751e-09) / 0.199999995383,sin(x0**2)*cos(x0 + 6.28318544643) - 5.0,"[2.040684008773125, 4.242501437652094, 0.9999999905229838, 0.19999999538327184]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,2,3325160576,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999992251396179,True,0.9999999999999216,0.9999999999999096,10.0,31729,3.5732368809995023,sin(-2.2164244681e-07 - x0 * x0) * 1.77917583998 * -0.562058177486 * cos(x0) + -5.00000020003,sin(-2.2164244681e-07 - x0 * x0) * 1.77917583998 * -0.562058177486 * cos(x0) + -5.00000020003,1.0*sin(x0**2)*cos(x0) - 5.0,"[-2.216424468100174e-07, 0.956785578189794, -0.5620581774863075, -5.000000200027992]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,3,3163586042,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999994039535522,True,0.9999999999999434,0.9999999999999213,12.0,38457,4.827500801000497,(-5.00000208974 + sin(x0 * x0) * cos(x0 / 1.00000037579)) * 0.999999573735,(-5.00000208974 + sin(x0 * x0) * cos(x0 / 1.00000037579)) * 0.999999573735,1.0*sin(x0**2)*cos(0.999999624210141*x0) - 5.0,"[-5.000002089744683, 1.0000003757856337, 0.9999995737348861]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,4,1227433701,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999992251396179,True,0.9999999999999061,0.9999999999999108,10.0,23067,2.4885527380001804,-5.00000006896 + sin(x0 * x0) * cos(x0) * 0.50000014931 * 2,-5.00000006896 + sin(x0 * x0) * cos(x0) * 0.50000014931 * 2,1.0*sin(x0**2)*cos(x0) - 5.0,"[-5.000000068960536, -0.49999985068957975, 1.0, 1.0, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,5,2057259013,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999991059303284,True,0.9999999999999818,0.9999999999999822,9.0,32190,3.7781771010004377,-4.99999998009 - cos(x0) / -1 * sin(x0 * x0),-4.99999998009 - cos(x0) / -1 * sin(x0 * x0),sin(x0**2)*cos(x0) - 5.0,"[-4.99999998008576, 4.71238895880709]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,6,3814845113,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999991059303284,True,0.9999999999999949,0.9999999999999938,12.0,12419,1.3644028420003451,0.999999937471 * (-5.00000029525 - cos(3.14159263211 - x0) * sin(x0 * x0)),0.999999937471 * (-5.00000029525 - cos(3.14159263211 - x0) * sin(x0 * x0)),-1.0*sin(x0**2)*cos(x0 - 3.14159263211) - 5.0,"[-6.252866160826624e-08, -5.000000295246044, 3.14159263211387]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,7,2770303473,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999991059303284,True,0.999999999999998,0.9999999999999978,10.0,23751,2.854265850000047,-5.00000000858 + 1.00000004293 / x0 * x0 * sin(x0 * x0) * cos(x0),-5.00000000858 + 1.00000004293 / x0 * x0 * sin(x0 * x0) * cos(x0),1.0*sin(x0**2)*cos(x0) - 5.0,"[-5.000000008583223, 1.000000042929391, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,8,3183815639,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999992847442627,True,0.9999999999998255,0.9999999999998455,12.0,192216,27.527795850000075,-5.00000011433 + sin(x0 * 0.999995995495 * x0) * (cos(x0) - 2.93019565668e-06) * 1.00000808367,-5.00000011433 + sin(x0 * 0.999995995495 * x0) * (cos(x0) - 2.93019565668e-06) * 1.00000808367,1.0*sin(0.999995995495*x0**2)*cos(x0) - 5.0,"[0.006737946128719874, 0.9999959954946781, 1.2999993524108822e-05, 0.22539977818045503, 1.0000080836664895]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,9,3828183215,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999991655349731,True,0.9999999999998019,0.999999999999758,11.0,27724,3.2655941379998694,-5.00000007103 - (-0.0466294288561 + cos(x0) + 0.0466286945686) * sin(-1.00000129944 * x0 * x0),-5.00000007103 - (-0.0466294288561 + cos(x0) + 0.0466286945686) * sin(-1.00000129944 * x0 * x0),sin(1.00000129944*x0**2)*cos(x0) - 5.0,"[-5.000000071029838, -0.30301545133490154, 0.04662869456857735, -1.0000012994415688]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,10,2437489881,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999992847442627,True,0.9999999999998277,0.9999999999996807,14.0,60409,7.872437967000224,-5.00000084947 - 2.04579920671e-07 * sin(x0) - sin(x0 * x0 + 3.14159359394) * cos(x0 * 0.999999055117 - 4.60477246646e-07),-5.00000084947 - 2.04579920671e-07 * sin(x0) - sin(x0 * x0 + 3.14159359394) * cos(x0 * 0.999999055117 - 4.60477246646e-07),-sin(x0**2 + 3.14159359394)*cos(0.999999055117*x0) - 5.0,"[-5.000000849466189, 0.8721760122554507, 0.9311039285863062, 1.0675644983410257, 1.478259704500084, 1.6633338894446588, 0.9999990551171559, 4.604772466464024e-07]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,18,Livermore-18,expression,11,2218870180,40,20,20,1,"[""x0""]",sin(x[0]**2)*cos(x[0]) - 5,0.9999994039535522,True,0.9999999999999684,0.9999999999999519,11.0,36049,4.52571109100063,-4.99999998589 + sin((x0 - -7.40440165839e-08) * x0) * cos(x0 * 1.6159536908e-07 + x0),-4.99999998589 + sin((x0 - -7.40440165839e-08) * x0) * cos(x0 * 1.6159536908e-07 + x0),sin(x0**2)*cos(1.00000016159537*x0) - 5.0,"[-4.999999985885064, -7.404401658391156e-08, 1.6159536907952922e-07]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
