group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Nguyen,2,Nguyen-2,expression,0,23654,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,12.0,19192,0.11047024799995597,x0 + x0 * (x0 * x0 + x0 + x0 * x0 * x0),x0 + x0 * (x0 * x0 + x0 + x0 * x0 * x0),x0*(x0*(x0**2 + x0 + 1.0) + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,1,15795,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,38858,0.2412157680000746,(x0 + x0 * x0 * x0) * (x0 + x0 / x0),(x0 + x0 * x0 * x0) * (x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,2,860,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,42653,0.2880116689999568,(x0 + x0 * x0) * (x0 * x0 + x0 / x0),(x0 + x0 * x0) * (x0 * x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,3,5390,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,47859,0.32932890200004294,(x0 * x0 + x0) * (x0 * x0 + x0 / x0),(x0 * x0 + x0) * (x0 * x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,4,16850,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,12.0,29277,0.17734372400002485,(x0 + x0 * x0) * x0 * x0 + x0 + x0 * x0,(x0 + x0 * x0) * x0 * x0 + x0 + x0 * x0,x0*(x0**2*(x0 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,5,29910,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,41477,0.2619839190000448,(x0 + x0 / x0) * x0 * (x0 * x0 + x0 / x0),(x0 + x0 / x0) * x0 * (x0 * x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,6,4426,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],1.0,True,1.0,1.0,10.0,50293,0.328341779000084,(x0 + x0 * x0 * x0) * (x0 + x0 / x0),(x0 + x0 * x0 * x0) * (x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,7,21962,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,11060,0.06207471900006567,(x0 * x0 * x0 + x0) * (x0 * x0 / (x0 * x0) + x0),(x0 * x0 * x0 + x0) * (x0 * x0 / (x0 * x0) + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,8,14423,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,69206,0.44804400800001076,(x0 * x0 * x0 + x0) * (x0 - (x0 - x0) + x0 / x0),(x0 * x0 * x0 + x0) * (x0 - (x0 - x0) + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,9,28020,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,33554,0.20005584599994108,(x0 + x0 * x0 * x0) * (x0 + x0 / x0) / (x0 / x0),(x0 + x0 * x0 * x0) * (x0 + x0 / x0) / (x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,10,29802,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,25626,0.15101946200002203,(x0 + x0 * x0 * x0) * (x0 + x0 / x0),(x0 + x0 * x0 * x0) * (x0 + x0 / x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,11,21575,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,12170,0.06917254300003606,(x0 / (x0 - (x0 - x0)) + x0) * (x0 * x0 * x0 + x0),(x0 / (x0 - (x0 - x0)) + x0) * (x0 * x0 * x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,12,11964,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,77320,0.5263429780000024,(x0 * x0 + x0) * x0 * x0 + (x0 + x0 / x0) * x0,(x0 * x0 + x0) * x0 * x0 + (x0 + x0 / x0) * x0,x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,13,11284,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,36492,0.2112983910000139,(x0 / x0 + x0) * (x0 + x0 * x0 * x0),(x0 / x0 + x0) * (x0 + x0 * x0 * x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,14,22118,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,33711,0.21865106000007017,(x0 / x0 + x0 * x0) * (x0 * x0 + x0),(x0 / x0 + x0 * x0) * (x0 * x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,15,6265,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,12.0,48933,0.32684144500001366,x0 * x0 * (x0 + x0 * x0) + x0 * x0 + x0,x0 * x0 * (x0 + x0 * x0) + x0 * x0 + x0,x0*(x0**2*(x0 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,16,11363,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,60658,0.4018998530000317,(x0 / x0 + x0) * (x0 * x0 * x0 + x0),(x0 / x0 + x0) * (x0 * x0 * x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,17,27495,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,12.0,190419,1.446584444999985,(x0 + x0 * x0) * x0 * x0 + x0 + x0 * x0,(x0 + x0 * x0) * x0 * x0 + x0 + x0 * x0,x0*(x0**2*(x0 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,18,16023,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,45836,0.28901382100002593,(x0 + x0 * x0) * (x0 / x0 + x0 * x0),(x0 + x0 * x0) * (x0 / x0 + x0 * x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,19,8322,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,28590,0.1655204829999093,(x0 + x0 * x0 * x0) * (x0 / x0 + x0),(x0 + x0 * x0 * x0) * (x0 / x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,20,1685,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,17509,0.1032147600000144,(x0 * x0 * x0 + x0) * (x0 / x0 + x0),(x0 * x0 * x0 + x0) * (x0 / x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,2,Nguyen-2,expression,21,32052,40,20,20,1,"[""x0""]",x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,10.0,51550,0.3304913929999884,(x0 + x0 * x0 * x0) * (x0 / x0 + x0),(x0 + x0 * x0 * x0) * (x0 / x0 + x0),x0*(x0 + 1.0)*(x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
