group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Nguyen,4,Nguyen-4,expression,0,723072574,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,16.0,104084,0.7215029390000609,(x0 * x0 * x0 + x0 + x0 / (x0 * x0)) * (x0 * x0 + x0 * x0 * x0),(x0 * x0 * x0 + x0 + x0 / (x0 * x0)) * (x0 * x0 + x0 * x0 * x0),x0*(x0 + 1.0)*(x0**2*(x0**2 + 1.0) + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,1,971434279,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],1.0,True,1.0,1.0,17.0,102781,0.7101144270000077,x0 * x0 + x0 + x0 * (x0 * x0 + x0) * (x0 * x0 * x0 + x0),x0 * x0 + x0 + x0 * (x0 * x0 + x0) * (x0 * x0 * x0 + x0),x0*(x0**2*(x0 + 1.0)*(x0**2 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,2,3325160576,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,154051,1.1676740320000363,(x0 + x0 * x0 * x0 * x0) * (cos(x0 - x0) + x0 / x0 * (x0 + x0 * x0)),(x0 + x0 * x0 * x0 * x0) * (cos(x0 - x0) + x0 / x0 * (x0 + x0 * x0)),x0*(x0**3 + 1.0)*(x0**2 + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,3,3163586042,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,109777,0.8209035179999091,(x0 * x0 + x0) * (x0 * x0 * x0 * x0 + x0 / x0 + x0 * x0),(x0 * x0 + x0) * (x0 * x0 * x0 * x0 + x0 / x0 + x0 * x0),x0*(x0 + 1.0)*(x0**4 + x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,4,1227433701,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,199359,1.6213993310000205,(x0 * x0 + x0 * x0 * x0 * x0 + cos(x0 / x0 - x0 / x0)) * (x0 * x0 + x0),(x0 * x0 + x0 * x0 * x0 * x0 + cos(x0 / x0 - x0 / x0)) * (x0 * x0 + x0),x0*(x0 + 1.0)*(x0**4 + x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,5,2057259013,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,17.0,157999,1.189702223999916,x0 * (x0 + x0 * x0) * (x0 * x0 * x0 + x0) + x0 * x0 + x0,x0 * (x0 + x0 * x0) * (x0 * x0 * x0 + x0) + x0 * x0 + x0,x0*(x0**2*(x0 + 1.0)*(x0**2 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,6,3814845113,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,123762,0.8411452610000651,(x0 + x0 / x0) * x0 * (x0 * x0 * x0 * x0 + x0 / x0 + x0 * x0),(x0 + x0 / x0) * x0 * (x0 * x0 * x0 * x0 + x0 / x0 + x0 * x0),x0*(x0 + 1.0)*(x0**4 + x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,7,2770303473,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,82230,0.5448528759999363,(x0 * x0 + x0) * (x0 / x0 + x0 * x0 + x0 * x0 * x0 * x0),(x0 * x0 + x0) * (x0 / x0 + x0 * x0 + x0 * x0 * x0 * x0),x0*(x0 + 1.0)*(x0**4 + x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,8,3183815639,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,13.0,1513419,14.364711951000004,(x0 * x0 + x0) * (x0 * x0 + x0 / x0 + x0 * x0 * x0 * x0) / (x0 / x0),(x0 * x0 + x0) * (x0 * x0 + x0 / x0 + x0 * x0 * x0 * x0) / (x0 / x0),x0*(x0 + 1.0)*(x0**4 + x0**2 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Nguyen,4,Nguyen-4,expression,9,3828183215,40,20,20,1,"[""x0""]",x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999999403953552,True,1.0,1.0,17.0,116477,0.8662879109999722,(x0 + x0 * x0 * x0) * (x0 * x0 * x0 + x0 * x0) + x0 * x0 + x0,(x0 + x0 * x0 * x0) * (x0 * x0 * x0 + x0 * x0) + x0 * x0 + x0,x0*(x0**2*(x0 + 1.0)*(x0**2 + 1.0) + x0 + 1.0),[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
